timestamp,gpu_temp,cpu_temp,gpu_util,power,ram,system_state,temp_trend,decision,yolo_precision,bert_precision,yolo_latency_ms,bert_latency_ms,total_latency_ms,fps,throughput_tasks_per_sec,energy_per_inf_j,scheduler_overhead_ms,cost_function
07:21:23,46.062,50.062,0.0,6.652,4619,Normal,-0.219,YOLO_INT8+BERT_INT8,int8,int8,41.56,9.66,51.22,24.06,312.37,0.3407,5.4262,0.2096
07:21:25,46.125,50.062,24.0,6.652,4620,Normal,0.063,YOLO_INT8+BERT_INT8,int8,int8,38.56,9.59,48.14,25.94,332.33,0.3203,5.7495,0.2046
07:21:27,46.375,50.187,0.0,6.733,4620,Normal,0.250,YOLO_INT8+BERT_INT8,int8,int8,42.87,9.07,51.93,23.33,308.09,0.3497,5.4131,0.2119
07:21:29,46.343,50.437,0.0,6.652,4620,Normal,-0.032,YOLO_INT8+BERT_INT8,int8,int8,40.60,9.12,49.72,24.63,321.81,0.3307,5.3873,0.2074
07:21:30,46.25,50.062,0.0,6.612,4620,Normal,-0.093,YOLO_INT8+BERT_INT8,int8,int8,42.50,9.70,52.20,23.53,306.54,0.3451,5.7931,0.2109
07:21:32,46.0,50.0,0.0,6.652,4620,Normal,-0.250,YOLO_INT8+BERT_INT8,int8,int8,41.66,9.22,50.88,24.00,314.45,0.3385,5.4834,0.2090
07:21:34,46.062,50.0,0.0,6.652,4621,Normal,0.062,YOLO_INT8+BERT_INT8,int8,int8,39.06,8.11,47.17,25.60,339.18,0.3138,5.4958,0.2030
07:21:36,46.0,49.968,0.0,6.652,4620,Normal,-0.062,YOLO_INT8+BERT_INT8,int8,int8,43.41,9.24,52.64,23.04,303.93,0.3502,5.6078,0.2118
07:21:37,46.0,50.187,0.0,6.652,4620,Normal,0.000,YOLO_INT8+BERT_INT8,int8,int8,39.69,5.99,45.69,25.19,350.21,0.3039,5.4309,0.2005
07:21:39,46.062,50.093,0.0,6.652,4620,Normal,0.062,YOLO_INT8+BERT_INT8,int8,int8,38.12,9.10,47.23,26.23,338.78,0.3142,5.4553,0.2031
07:21:41,46.0,50.187,0.0,6.652,4621,Normal,-0.062,YOLO_INT8+BERT_INT8,int8,int8,42.62,9.64,52.26,23.47,306.16,0.3476,5.5850,0.2112
07:21:43,46.281,50.093,0.0,6.652,4621,Normal,0.281,YOLO_INT8+BERT_INT8,int8,int8,42.18,9.18,51.37,23.71,311.49,0.3417,5.4359,0.2100
07:21:44,45.906,50.0,0.0,6.652,4621,Normal,-0.375,YOLO_INT8+BERT_INT8,int8,int8,42.17,9.10,51.27,23.72,312.08,0.3410,5.4429,0.2095
07:21:46,45.937,49.812,0.0,6.652,4621,Normal,0.031,YOLO_INT8+BERT_INT8,int8,int8,39.55,6.95,46.50,25.28,344.08,0.3093,5.7921,0.2018
07:21:48,46.062,50.156,0.0,6.652,4621,Normal,0.125,YOLO_INT8+BERT_INT8,int8,int8,40.24,9.16,49.39,24.85,323.93,0.3286,5.3070,0.2066
07:21:50,45.968,50.156,0.0,6.652,4621,Normal,-0.094,YOLO_INT8+BERT_INT8,int8,int8,41.84,9.03,50.86,23.90,314.58,0.3383,6.1677,0.2089
07:21:51,46.125,50.125,0.0,6.652,4621,Normal,0.157,YOLO_INT8+BERT_INT8,int8,int8,41.49,9.52,51.00,24.10,313.71,0.3393,5.6486,0.2093
07:21:53,45.937,50.093,0.0,6.612,4621,Normal,-0.188,YOLO_INT8+BERT_INT8,int8,int8,40.26,9.01,49.27,24.84,324.76,0.3258,5.4042,0.2059
07:21:55,46.062,49.937,0.0,6.612,4621,Normal,0.125,YOLO_INT8+BERT_INT8,int8,int8,43.04,9.05,52.10,23.23,307.13,0.3445,5.4200,0.2106
07:21:57,45.875,50.031,0.0,6.652,4621,Normal,-0.187,YOLO_INT8+BERT_INT8,int8,int8,38.94,8.09,47.03,25.68,340.20,0.3129,5.4483,0.2026
