timestamp,gpu_temp,gpu_util,power,ram,decision,yolo_run,bert_run
13:32:58,42.218,0.0,6.572,6005,NAIVE,1,1
13:33:03,42.281,0.0,6.451,6135,NAIVE,1,1
13:33:08,42.468,0.0,6.451,6125,NAIVE,1,1
13:33:13,42.406,0.0,6.41,6132,NAIVE,1,1
13:33:18,42.343,0.0,6.451,6127,NAIVE,1,1
13:33:23,42.312,39.0,6.733,6131,NAIVE,1,1
13:33:28,42.406,0.0,6.612,6130,NAIVE,1,1
13:33:33,42.343,29.0,6.451,6122,NAIVE,1,1
13:33:38,42.406,0.0,6.451,6122,NAIVE,1,1
13:33:43,42.218,0.0,6.451,6126,NAIVE,1,1
13:33:48,42.562,0.0,6.612,6130,NAIVE,1,1
13:33:53,42.593,0.0,6.814,6129,NAIVE,1,1
13:33:58,42.25,0.0,6.451,6146,NAIVE,1,1
13:34:03,42.468,0.0,6.41,6146,NAIVE,1,1
13:34:08,42.375,0.0,6.41,6155,NAIVE,1,1
13:34:13,42.906,50.0,7.608,6158,NAIVE,1,1
13:34:18,42.781,1.0,6.894,6150,NAIVE,1,1
13:34:23,42.531,0.0,6.894,6148,NAIVE,1,1
13:34:28,42.531,0.0,6.531,6152,NAIVE,1,1
13:34:34,42.5,0.0,6.491,6150,NAIVE,1,1
13:34:39,42.218,0.0,6.451,6146,NAIVE,1,1
13:34:44,42.468,23.0,6.491,6153,NAIVE,1,1
13:34:49,42.406,0.0,6.531,6146,NAIVE,1,1
13:34:54,42.281,10.0,6.491,6141,NAIVE,1,1
13:34:59,42.125,0.0,6.451,6155,NAIVE,1,1
13:35:04,42.343,3.0,6.451,6154,NAIVE,1,1
13:35:09,42.218,0.0,6.491,6179,NAIVE,1,1
13:35:14,42.218,0.0,6.451,6166,NAIVE,1,1
13:35:19,42.281,0.0,6.451,6168,NAIVE,1,1
13:35:24,42.218,0.0,6.935,6165,NAIVE,1,1
13:35:29,41.937,0.0,6.37,5457,NAIVE,1,1
13:35:34,42.312,0.0,6.37,5453,NAIVE,1,1
13:35:39,42.218,0.0,6.37,5457,NAIVE,1,1
13:35:44,42.093,0.0,6.37,5460,NAIVE,1,1
13:35:49,42.062,0.0,6.41,5460,NAIVE,1,1
13:35:54,41.75,0.0,6.37,5469,NAIVE,1,1
13:35:59,42.25,0.0,6.37,5472,NAIVE,1,1
13:36:04,41.843,0.0,6.37,5472,NAIVE,1,1
13:36:09,42.125,0.0,6.37,5473,NAIVE,1,1
13:36:14,41.937,0.0,6.37,5480,NAIVE,1,1
13:36:19,42.062,0.0,6.37,5475,NAIVE,1,1
13:36:24,41.843,0.0,6.37,5480,NAIVE,1,1
13:36:29,42.156,0.0,6.37,5479,NAIVE,1,1
13:36:34,42.187,0.0,6.37,5474,NAIVE,1,1
13:36:39,42.093,0.0,6.37,5472,NAIVE,1,1
13:36:44,42.187,0.0,6.37,5479,NAIVE,1,1
13:36:49,42.0,0.0,6.41,5479,NAIVE,1,1
13:36:54,42.25,0.0,6.37,5487,NAIVE,1,1
13:36:59,42.187,0.0,6.37,5481,NAIVE,1,1
13:37:04,42.125,0.0,6.33,5487,NAIVE,1,1
13:37:09,41.937,0.0,6.37,5488,NAIVE,1,1
13:37:14,42.218,0.0,6.37,5482,NAIVE,1,1
13:37:20,42.093,0.0,6.41,5476,NAIVE,1,1
13:37:25,42.312,0.0,6.37,5471,NAIVE,1,1
13:37:30,42.187,8.0,6.41,5471,NAIVE,1,1
13:37:35,42.0,0.0,6.37,5477,NAIVE,1,1
13:37:40,42.375,10.0,6.41,5471,NAIVE,1,1
13:37:45,42.093,0.0,6.37,5475,NAIVE,1,1
13:37:50,42.468,36.0,6.41,5476,NAIVE,1,1
13:37:55,42.406,0.0,6.37,5470,NAIVE,1,1
13:38:00,42.312,0.0,6.33,5475,NAIVE,1,1
13:38:05,42.312,0.0,6.37,5482,NAIVE,1,1
13:38:10,42.218,0.0,6.37,5482,NAIVE,1,1
13:38:15,42.406,0.0,6.37,5482,NAIVE,1,1
13:38:20,42.531,0.0,6.37,5482,NAIVE,1,1
13:38:25,42.375,0.0,6.37,5483,NAIVE,1,1
13:38:30,42.281,0.0,6.37,5474,NAIVE,1,1
13:38:35,42.468,0.0,6.37,5475,NAIVE,1,1
13:38:40,42.437,0.0,6.37,5469,NAIVE,1,1
13:38:45,42.281,0.0,6.37,5468,NAIVE,1,1
13:38:50,42.468,0.0,6.37,5468,NAIVE,1,1
13:38:55,42.343,0.0,6.37,5468,NAIVE,1,1
13:39:00,42.218,0.0,6.37,5468,NAIVE,1,1
13:39:05,42.437,0.0,6.37,5461,NAIVE,1,1
13:39:10,42.187,0.0,6.37,5470,NAIVE,1,1
13:39:15,42.187,0.0,6.451,5472,NAIVE,1,1
13:39:20,42.0,0.0,6.37,5466,NAIVE,1,1
13:39:25,42.531,4.0,6.854,5459,NAIVE,1,1
13:39:30,42.312,0.0,6.531,5463,NAIVE,1,1
13:39:35,42.156,0.0,5.846,5444,NAIVE,1,1
13:39:40,42.281,0.0,5.806,5445,NAIVE,1,1
13:39:45,42.062,0.0,5.806,5440,NAIVE,1,1
13:39:50,41.781,0.0,5.806,5442,NAIVE,1,1
13:39:56,41.75,0.0,5.806,5441,NAIVE,1,1
13:40:01,41.781,0.0,5.846,5447,NAIVE,1,1
13:40:06,41.812,0.0,5.765,5453,NAIVE,1,1
13:40:11,41.75,0.0,5.886,5453,NAIVE,1,1
13:40:16,41.531,0.0,5.806,5453,NAIVE,1,1
13:40:22,41.625,0.0,5.806,5453,NAIVE,1,1
13:40:27,41.687,0.0,5.806,5456,NAIVE,1,1
13:40:32,41.343,0.0,5.806,5456,NAIVE,1,1
13:40:37,41.531,0.0,5.806,5450,NAIVE,1,1
13:40:42,41.406,0.0,5.846,5449,NAIVE,1,1
13:40:47,41.375,0.0,5.765,5448,NAIVE,1,1
13:40:52,41.187,0.0,5.806,5448,NAIVE,1,1
13:40:57,41.437,0.0,5.765,5440,NAIVE,1,1
13:41:02,41.312,0.0,5.846,5436,NAIVE,1,1
13:41:07,41.25,0.0,6.491,5432,NAIVE,1,1
13:41:12,41.406,0.0,6.37,5437,NAIVE,1,1
13:41:17,41.562,0.0,6.41,5489,NAIVE,1,1
