timestamp_human,timestamp_epoch,gpu_temp_c,gpu_util_percent,power_w,ram_used_mb,yolo_latency_ms
2026-04-12 12:57:03,1775998623.1927757,41.375,0.0,6.37,4390,9746.527433395386
2026-04-12 12:57:11,1775998631.6860595,41.75,54.0,6.491,4391,6470.195531845093
2026-04-12 12:57:20,1775998640.0596285,41.687,0.0,6.33,4399,6350.427627563477
